TeamName,ObservationDate,RivalTeam,Attack,Midfield,Defence,TransferBudget,Defensive Style,DefensiveWidth,Depth,Offensive Style,Width,Players In Box,Corners,Free Kicks,Captain,Short Free Kick,Long Free Kick,Penalties,Left Corner,Right Corner,TeamRoster,LoanedPlayers
SpVgg Greuther Fürth,"April 25, 2022",1. FC Nürnberg,70,69,72,1900000,Balanced,60,60,Balanced,50,6,3,3,Hrgota,Tillman,Raschl,Hrgota,Tillman,Tillman,"['Andreas Linde', 'Sebastian Griesbeck', 'Maximilian Bauer', 'Nick Viergever', 'Simon Asta', 'Max Christiansen', 'Tobias Raschl', 'Luca ItterL', 'Branimir Hrgota', 'Timothy Tillman', 'Jamie Leweling', 'Dickson Abiama', 'Jeremy Dudziak', 'Julian Green', 'Sascha Burchert', 'Jessic NgankamL', 'Paul Seguin', 'Elias Kratzer', 'Gideon Jung', 'Leon Schaffran', 'Afimico Pululu', 'Abdourahmane Barry', 'Marco Meyerhöfer', 'Håvard Nielsen', 'Robin Kehr', 'Mert-Yusuf Torlak', 'Marius Funk', 'Lasse Schulz']",['Nils Seufert']
RC Celta de Vigo,"April 21, 2022",CD Lugo,76,76,76,12000000,Pressure On Heavy Touch,70,60,Balanced,50,3,3,3,Hugo Mallo,Iago Aspas,Iago Aspas,Iago Aspas,Denis Suárez,Denis Suárez,"['Matías Dituro', 'Hugo Mallo', 'Joseph Aidoo', 'Néstor Araújo', 'Javi Galán', 'Fran Beltrán', 'Brais Méndez', 'Denis Suárez', 'Franco Cervi', 'Iago Aspas', 'Renato Tapia', 'Jeison MurilloL', 'Kevin', 'José Fontán', 'Rubén Blanco', 'Santi Mina', 'Nolito', 'Orbelín Pineda', 'Augusto Solari', 'Carlos Domínguez', 'Javi CastroL', 'Lautaro', 'Iker Losada', 'B. Arce', 'Cedric Teguía', 'Alfon', 'Jordan Holsgrove', 'Javi Gómez', 'Carbonell', 'Miguel Rodríguez', 'Gaizka Campos Bahillo']","['Okay Thom', 'Emre Mor', 'Iván Villar', 'Miguel Baeza Pérez', 'Gabriel Fernández', 'Sergio Carreira Vilariño']"
Villarreal CF,"April 21, 2022",Valencia CF,79,80,80,33000000,Balanced,60,50,Balanced,60,5,3,3,Manu Trigueros,Parejo,Parejo,Gerard Moreno,Parejo,Parejo,"['Gerónimo Rulli', 'Serge Aurier', 'Raúl Albiol', 'Pau Torres', 'Alfonso Pedraza Sag', 'Gerard Moreno', 'Manu Trigueros', 'Parejo', 'Alberto Moreno', 'Giovani Lo CelsoL', 'Arnaut Danjuma', 'Etienne Capoue', 'Aïssa Mandi', 'Pervis Estupiñán', 'Juan Foyth', 'Sergio Asenjo', 'Boulaye Dia', 'Twardzik Santos Pino', 'Paco Alcácer', 'Francis Coquelin', 'Iborra', 'Mario Gaspar', 'Rubén Peña', 'Moi Gómez', 'Samuel Chukwueze', 'Pablo Iñiguez de Heredia', 'MartínL', 'De La Fuente', 'Miguel Ángel Leal Díaz', 'Carlo Adriano', 'Nikita Iosifov', 'Filip Jörgensen']","['Manu Morlanes', 'Fer Niño', 'Alex Baena', 'Jorge Cuenca', 'Iván Martín', 'Quintillà', 'Alex Millán', 'Haissem Hassan']"
Sevilla FC,"April 25, 2022",Real Betis Balompié,81,82,83,34500000,Pressure On Heavy Touch,70,70,Balanced,80,8,3,3,Jesús Navas,Joan Jordán,Joan Jordán,Rakitić,Acuña,Joan Jordán,"['Abdenasser Bounou', 'Jesús Navas', 'Jules Koundé', 'Diego Carlos', 'Marcos Acuña', 'Thomas Delaney', 'Joan Jordán', 'Ivan Rakitić', 'Lucas Ocampos', 'Anthony MartialL', 'Jesús Corona', 'Nemanja Gudelj', 'Gonzalo Montiel', 'Ludwig Augustinsson', 'Karim Rekik', 'Marko Dmitrović', 'Rafa Mir', 'Alejandro Gómez', 'Vides En-Nesyri', 'Suso', 'Munir', 'Erik Lamela', 'Jayesh Rane', 'Javi Díaz', 'G. Avalos', 'Alfonso Pastor', 'Pablo Pérez', 'Santisteban', 'Iván Romero', 'Pedro Ortiz', 'Carmona', 'Juanlu Sánchez']","['Luuk Rodríguez Serrano', 'Oussama Idrissi', 'Galani', 'Alejandro Pozo Pozo', 'Berrocal', 'Ryan Johansson']"
Olympique de Marseille,"April 11, 2022",Paris Saint-Germain,79,78,76,14000000,Balanced,60,60,Balanced,60,8,3,3,Payet,Payet,Payet,Payet,Payet,Payet,"['Pau López', 'Valentin Rongier', 'William SalibaL', 'Duje Pinos', 'Luan Peres', 'Boubacar Kamara', 'Mattéo GuendouziL', 'Gerson', 'Cengiz Leo. Quiñonez', 'Arkadiusz MilikL', 'Dimitri Payet', 'Pape Gueye', 'Amine HaritL', 'Sead Kolašinac', 'Pol Lirola', 'Steve Mandanda', 'Cédric Bakambu', 'Bamba Dieng', 'Konrad Rauhut', 'Luis Henrique', 'Ugo Bertelli', 'Salim Ben Seghir', 'Cheick Souaré', 'Carle', 'Daouda Gueye', 'Oussama Targhalline', 'Bilal Nadir', 'Franco Tongya', 'Aaron Kamardin', 'Esey Gebreyesus', 'Paolo Sciortino', 'Simon Ngapandouetnbu', 'Leonardo Balerdi']","['Kevin Strootman', 'Nemanja Radonjić', 'Jordan Amavi', 'Lucas Perrin']"
La Spezia,"April 25, 2022",Genoa,71,70,71,2700000,Balanced,50,60,Balanced,60,5,3,3,Maggiore,Verde,Verde,Gyasi,Verde,Verde,"['Ivan Provedel', 'Kelvin Amian', 'Martin ErlićL', 'Dimitrios Nikolaou', 'Arkadiusz RecaL', 'Giulio Maggiore', 'Simone Bastoni', 'Emmanuel Gyasi', 'Rey ManajL', 'Daniele Verde', 'Viktor KovalenkoL', 'Jacopo Sala', 'Petko Hristov', 'Jeroen Salaberry', 'Kevin AgudeloL', 'Eddie SalcedoL', ""M'Bala Nzola"", 'Salva Ferrer', 'Janis Antiste', 'Ebrima ColleyL', 'Mehdi BourabiaL', 'Léo Sena']",[]
Latium,"April 21, 2022",Roma,79,80,79,39500000,Press After Possession Loss,60,60,Balanced,70,3,3,3,Immobile,Milinković-Savić,Milinković-Savić,Immobile,Luis Alberto,Luis Alberto,"['Thomas Strakosha', 'Adam Marušić', 'Luiz Felipe', 'Francesco Acerbi', 'Elseid Hysaj', 'Danilo Cataldi', 'Sergej Milinković-Savić', 'Luis Alberto', 'Pedro', 'Ciro Immobile', 'Mattia St.Filip', 'Felipe Anderson', 'Lucas Leiva', 'Jean-Daniel Akpa Akpro', 'Patric', 'Pepe Reina', 'Toma Bašić', 'Manuel Lazzari', 'Jovane CabralL', 'Wei Changsheng Radu', 'Raúl Moro', 'Jorge Silva', 'André Anderson', 'Luka Romero', 'Patryk Dziczek', 'Marius Adamonis']","['Joaquín Correa', 'Gonzalo Escalante', 'Jony', 'Vedat Muriqi', 'Denis Vavro', 'Mohamed Fares', 'Riza Durmisi', 'Sofian Kiyine', 'Djavan Anderson']"
Tottenham Hotspur,"April 25, 2022",Arsenal,83,80,79,72500000,Drop Back,60,40,Balanced,50,4,3,3,Lloris,Kane,Son,Kane,Son,Son,"['Hugo Lloris', 'Emerson Leite De Souza', 'Cristian RomeroL', 'Eric Dier', 'Ben Davies', 'Reguilón', 'Rodrigo Bentancur', 'Pierre-Emile Højbjerg', 'Dejan Kulusevski', 'Harry Kane', 'Heung Min Son', 'Lucas Moura', 'Harry Winks', 'Oliver Skipp', 'Davinson Sánchez', 'Pierluigi GolliniL', 'Steven Bergwijn', 'Ryan Sessegnon', 'Joe Rodon', 'Matt Doherty', 'Dane Scarlett', 'Harvey White', 'Malachi Fagan-Walcott', 'Japhet Tanganga', 'Alfie Devine', 'Brandon Austin', ""J'Neil Bennett"", 'Marcel Lavinier', 'Brooklyn Lyons-Foster', 'Jeremie Mukendi', 'Joshua Oluwayemi', 'Jamie Bowden']","['Tanguy Ndombele', 'Giovani Lo Celso', 'Bryan Gil', 'Cameron Carter-Vickers', 'Pape Matar Sarr', 'Jack Clarke', 'Troy Parrott', 'Alfie Whiteman', 'Kion Etete', 'Nile John']"
Deportivo Alavés,"April 21, 2022",Athletic Club de Bilbao,76,74,76,4400000,Drop Back,50,40,Fast Build Up,60,3,3,3,Laguardia,Luis Rioja,Luis Rioja,Joselu,Luis Rioja,Luis Rioja,"['Pacheco', 'Nahuel TenagliaL', 'Laguardia', 'Florian Lejeune', 'Rubén Duarte', 'Tomás Pina', 'Edgar Méndez', 'Gonzalo EscalanteL', 'Mamadou LoumL', 'Luis Rioja', 'Joselu', 'Pere Pons', 'Toni Moya', 'Martín', 'Matt MiazgaL', 'Sivera', 'Miguel', 'Jason', 'J.Garner', 'Manu GarcíaL', 'John Guidetti', 'Manu VallejoL', 'Facundo PellistriL', 'Saúl', 'Javi López', 'Alan Godoy', 'Abdelkabir Abqar', 'Adrián']","['Mamadou Sylla', 'José Luis Rodríguez', 'Tachi', 'Carlos Isaac Muñoz Obejero', 'Taichi Hara', 'Borja Sainz']"
RCD Mallorca,"April 25, 2022",Villarreal CF,75,74,74,2800000,Drop Back,50,50,Balanced,60,3,3,3,Dani Rodríguez,Salva Sevilla,Salva Sevilla,Dani Rodríguez,Dani Rodríguez,Dani Rodríguez,"['Sergio RicoL', 'Pablo MaffeoL', 'Martin Valjent', 'Raillo', 'Brian Oliván', 'Iddrisu Baba', 'Salva Sevilla', 'Antonio Sánchez', 'Dani Rodríguez', 'Kang In Lee', 'Vedat MuriqiL', 'Clément Grenier', 'Ruiz de Galarreta', 'Jaume Vicent Costa Jordá', 'Franco Russo', 'Manolo Reina', 'C. Huerta', 'Takefusa KuboL', 'Amath Ndiaye', 'Rodrigo BattagliaL', 'Fer NiñoL', 'Giovanni González', 'Dominik Greif', 'Abdón Prats', 'Aleksandar Sedlar', 'Matthew Hoppe', 'Leo Román', 'Pep Gayà', 'Pablo Gálvez', 'Llabrés', 'Ibrahim Diabate']","['Lago Júnior', 'Braian Cufré', 'Aleix Febas', 'Jordi Mboula', 'Alex Alegría']"
Elche CF,"April 21, 2022",Levante UD,75,74,73,1700000,Drop Back,50,50,Long Ball,50,3,3,3,Edgar Badia,Fidel,Fidel,Fidel,Fidel,Fidel,"['Edgar Badia', 'Helibelton Palacios', 'Enzo Roco', 'Diego González Polanco', 'Johan Mojica', 'Tete Morente', 'Omar Mascarell', 'Gumbau', 'Fidel', 'Pere Milla', 'Lucas Boyé', 'Iván Marcone', 'Josan', 'Lucas OlazaL', 'Gonzalo Verdú', 'Francisco Casilla CortésL', 'Ezequiel Ponce', 'Javier Pastore', 'Pablo Piatti', 'Raúl Guti', 'Barragán', 'Pedro Bigas Rigo', 'Guido Carrillo', 'Kike PérezL', 'John Donald', 'Alejandro Pérez Ruiz', 'Diego Bri', 'Lluis Andreu']","['Axel Werner', 'Josema']"
CA Osasuna,"April 11, 2022",Athletic Club de Bilbao,77,76,75,4800000,Drop Back,70,70,Long Ball,60,3,3,3,David García,Rubén García,Rubén García,Rubén García,Rubén García,Rubén García,"['Sergio Herrera', 'Nacho Vidal', 'David García', 'Juan Cruz', 'Manu SánchezL', 'Lucas Torró', 'Ezequiel Y. Diaz', 'Moncayola', 'Darko Brašanac', 'Rubén García', 'Ante Budimir', 'Oier', 'Kike Barja', 'Cote', 'Unai García', 'Juan Pérez', 'Kike García', 'Roberto Torres', 'Iñigo Pérez', 'Aridane', 'Ramalho', 'Javi Martínez', 'Barbero', 'Areso', 'Iván Bravo', 'Aimar Oroz', 'Diego Moreno', 'Iker Benito', 'Pablo Valencia', 'Pablo Ibáñez', 'Darío Ramos']","['Marc Cardona', 'Rober Ibáñez', 'Kike Saverio']"
Venezia,"April 11, 2022",Hellas Verona,72,72,71,4000000,Balanced,60,50,Balanced,70,5,3,3,Ceccaroni,Aramu,Aramu,Johnsen,Busio,Aramu,"['Sergio Romero', 'Tyronne EbuehiL', 'Pietro Ceccaroni', 'Mattia CaldaraL', 'Ridgeciano Haps', 'Ethan AmpaduL', 'Gianluca Busio', 'Domen Guidino', 'Mattia Aramu', 'Thomas Henry', 'Dennis Johnsen', 'Jean-Pierre NsameL', 'David OkerekeL', 'Nani', 'Cristian Molinaro', 'Luca Lezzerini', 'Sofian KiyineL', 'Dor Peretz', 'Michaël Cuisance', 'Niki Mäenpää', 'Luca Fiordilino', 'Tanner Tessmann', 'Michael Svoboda', 'Marco Modolo', 'Maximilian Ullmann', 'Aleš Matějů', 'Antonio Vacca', 'Damiano PecileL', 'Arnór Sigurðsson', 'Jack El KaabiL', 'Bruno Bertinato']","['Pasquale Mazzocchi', 'Daan Heymans']"
Deportivo Alavés,"April 25, 2022",Athletic Club de Bilbao,76,74,76,4400000,Drop Back,50,40,Fast Build Up,60,3,3,3,Laguardia,Luis Rioja,Luis Rioja,Joselu,Luis Rioja,Luis Rioja,"['Pacheco', 'Nahuel TenagliaL', 'Laguardia', 'Florian Lejeune', 'Rubén Duarte', 'Tomás Pina', 'Edgar Méndez', 'Gonzalo EscalanteL', 'Mamadou LoumL', 'Luis Rioja', 'Joselu', 'Pere Pons', 'Toni Moya', 'Martín', 'Matt MiazgaL', 'Sivera', 'Miguel', 'Jason', 'J.Garner', 'Manu GarcíaL', 'John Guidetti', 'Manu VallejoL', 'Facundo PellistriL', 'Saúl', 'Javi López', 'Alan Godoy', 'Abdelkabir Abqar', 'Adrián']","['Mamadou Sylla', 'José Luis Rodríguez', 'Tachi', 'Carlos Isaac Muñoz Obejero', 'Taichi Hara', 'Borja Sainz']"
Olympique Lyonnais,"April 11, 2022",AS Saint-Étienne,78,78,77,50000000,Pressure On Heavy Touch,50,50,Balanced,50,5,3,3,Dubois,Emerson,Emerson,Dembélé,Emerson,Faivre,"['Anthony Lopes', 'Léo Dubois', 'Jérôme Boateng', 'Castello Lukeba', 'EmersonL', 'Thiago Mendes', 'Tanguy NdombeleL', 'Romain Faivre', 'Karl Toko Ekambi', 'Lucas Paquetá', 'Moussa Dembélé', 'TeteL', 'Jeff Reine-Adélaïde', 'Jason Denayer', 'Malo Gusto', 'Julian Pollersbeck', 'Tino Kadewere', 'Houssem Aouar', 'Damien Da Silva', 'Henrique', 'Sinaly Diomande', 'Habib Keïta', 'Lenny Pintor', 'Bradley Barcola', 'Malcolm Barcola', 'Hugo Vogel', 'Titouan Thomas', 'Pape Cheikh Diop', 'Maxence Caqueret', 'Rayan Cherki']","['Spajić Koné', 'Cenk M.Aziz']"
FC Lorient,"April 21, 2022",Stade Rennais,72,73,70,7000000,Pressure On Heavy Touch,60,50,Long Ball,60,5,3,3,Abergel,Laurienté,Laurienté,Moffi,Abergel,Laurienté,"['Matthieu Dreyer', 'Houboulang Mendes', 'Julien Laporte', 'Vincent Le Goff', 'Laurent Abergel', 'Thomas Monconduit', 'Enzo Le Fée', 'Armand Laurienté', 'Terem Moffi', 'Quentin Boisgard', 'Fabien Lemoine', 'Bonke Innocent', 'Igor Silva', 'Moritz Jenz', 'Paul Nardi', 'Ibrahima Koné', 'Jérôme Hergault', 'Stéphane Diarra', 'Jérémy Morel', 'Samuel Loric', 'Redwan Bourlès', 'Thomas Callens', 'Teddy Bartouche-Selbonne']","['Umut Bozok', 'Pierre-Yves Hamel', 'Adrian Grbic', 'Julien Ponceau']"
RC Celta de Vigo,"April 11, 2022",CD Lugo,76,76,76,12000000,Pressure On Heavy Touch,70,60,Balanced,50,3,3,3,Hugo Mallo,Iago Aspas,Iago Aspas,Iago Aspas,Denis Suárez,Denis Suárez,"['Matías Dituro', 'Hugo Mallo', 'Joseph Aidoo', 'Néstor Araújo', 'Javi Galán', 'Fran Beltrán', 'Brais Méndez', 'Denis Suárez', 'Franco Cervi', 'Iago Aspas', 'Renato Tapia', 'Jeison MurilloL', 'Kevin', 'José Fontán', 'Rubén Blanco', 'Santi Mina', 'Nolito', 'Orbelín Pineda', 'Augusto Solari', 'Carlos Domínguez', 'Javi CastroL', 'Lautaro', 'Iker Losada', 'Derviševič', 'Cedric Teguía', 'Alfon', 'Jordan Holsgrove', 'Javi Gómez', 'Carbonell', 'Miguel Rodríguez', 'Gaizka Campos Bahillo']","['Okay dos S. Nenatarviciu', 'Emre Mor', 'Iván Villar', 'Miguel Baeza', 'Gabriel Fernández', 'Sergio Carreira Vilariño']"
Watford,"April 11, 2022",Luton Town,75,75,73,30000000,Balanced,50,50,Long Ball,60,4,3,3,Sissoko,Dennis,,King,Kiko Femenía,Cleverley,"['Ben Foster', 'Kiko Femenía', 'Craig Cathcart', 'Samir', 'Hassane Kamara', 'Ismaïla Sarr', 'Tom Cleverley', 'Moussa Sissoko', 'Emmanuel Dennis', 'Joshua King', 'Juan Camilo Hernández', 'João Pedro', 'Jeremy Ngakia', 'Daniel Bachmann', 'Ken Sema', 'Edo Kayembe', 'Juraj KuckaL', 'Danny Rose', 'Oghenekaro EteboL', 'Christian Kabasele', 'Francisco Sierralta', 'Adam Masina', 'William Troost-Ekong', 'Dan Gosling', 'Samuel Kalu', 'Kwadwo Baah', 'Rob Elliot', 'Tiago Çukur', 'Maurizio Pochettino', 'Henry Wise']","['Philip Gabriel Tadeu', 'Ignacio Pussetto', 'Andre Gray', 'Maduka Okoye', 'Domingos Quina', 'Ashley Fletcher', 'Adalberto Peñaranda', 'Tom Dele-Bashiru', 'Mattie Pollock', 'Pontus Dahlberg', 'Joseph Hungbo', 'Daniel Phillips', 'Ryan Cassidy']"
Tottenham Hotspur,"April 21, 2022",Arsenal,83,80,79,72500000,Drop Back,60,40,Balanced,50,4,3,3,Lloris,Kane,Son,Kane,Son,Son,"['Hugo Lloris', 'Emerson Leite De Souza', 'Cristian RomeroL', 'Eric Dier', 'Ben Davies', 'Reguilón', 'Rodrigo Bentancur', 'Pierre-Emile Højbjerg', 'Dejan Kulusevski', 'Harry Kane', 'Heung Min Son', 'Lucas Moura', 'Harry Winks', 'Oliver Skipp', 'Davinson Sánchez', 'Pierluigi GolliniL', 'Steven Bergwijn', 'Ryan Sessegnon', 'Joe Rodon', 'Matt Doherty', 'Dane Scarlett', 'Harvey White', 'Malachi Fagan-Walcott', 'Japhet Tanganga', 'Alfie Devine', 'Brandon Austin', ""J'Neil Bennett"", 'Marcel Lavinier', 'Brooklyn Lyons-Foster', 'Jeremie Mukendi', 'Joshua Oluwayemi', 'Jamie Bowden']","['Tanguy Ndombele', 'Giovani Lo Celso', 'Bryan Gil', 'Cameron Carter-Vickers', 'Pape Matar Sarr', 'Jack Clarke', 'Troy Parrott', 'Alfie Whiteman', 'Kion Etete', 'Nile John']"
RB Leipzig,"April 25, 2022",Borussia Dortmund,82,80,79,50000000,Press After Possession Loss,50,80,Long Ball,30,6,3,3,Gulácsi,Nkunku,Angeliño,André Silva,Angeliño,Nkunku,"['Péter Gulácsi', 'Mohamed Simakan', 'Willi Orban', 'Joško Gvardiol', 'Nordi Mukiele', 'Konrad Laimer', 'Kevin Kampl', 'Angeliño', 'Dani Olmo', 'André Silva', 'Christopher Nkunku', 'Dominik Szoboszlai', 'Amadou Haidara', 'Lukas Klostermann', 'Benjamin Henrichs', 'Josep Martínez', 'Rafael Ratão Poulsen', 'Emil Forsberg', 'Tyler Adams', 'Ben Klefisch', 'Mehmet Ibrahimi', 'Philipp Tschauner', 'Marcel Halstenberg', 'Eric Uhlmann', 'David Lelle', 'Julius Pfennig']","['Hwang Hee Chan', 'Alexander Sørloth', 'Ademola Lookman', 'L.D. Kappel Mvogo', 'Ilaix Moriba', 'Brian Brobbey', 'Tom Krauß', 'Frederik Jäkel', 'Eric Martel', 'Tim Schreiber', 'Dennis Borkowski', 'Caden Clark']"
Bergamo Calcio,"April 25, 2022",Milan,82,79,79,20000000,Balanced,50,80,Balanced,60,5,3,3,Rafael Tolói,Malinovskyi,Freuler,Malinovskyi,Malinovskyi,Malinovskyi,"['Juan Musso', 'Rafael Tolói', 'Merih Demiral', 'Berat Djimsiti', 'Hans Hateboer', 'Marten Intriago', 'Remo Freuler', 'Davide M.Escobar', 'Ruslan Malinovskyi', 'Mario Pašalić', 'Duván Corie', 'Luis Muriel', 'Jérémie BogaL', 'Matteo Pessina', 'Joakim Mæhle', 'Marco Sportiello', 'Teun Koopmeiners', 'José Luis Palomino', 'Valentin MihăilăL', 'Alexey Miranchuk', 'Francesco Rossi', 'Giuseppe PezzellaL', 'Josip Iličić', 'Alassane Sidibe', 'Moustapha Cissé']","['Robin Gosens', 'Cristian Romero', 'Pierluigi Gollini', 'Matteo Lovato', 'Viktor Kovalenko', 'Sam Lammers', 'Boško Lavandeira', 'Arkadiusz Reca', 'Nicolas Haas', 'Roberto Piccoli', 'Ebrima Colley', 'Matteo Ruggeri', 'Rodrigo Guth', 'Nadir André António']"
Chelsea,"April 21, 2022",Arsenal,83,86,83,85000000,Balanced,60,70,Possession,60,6,3,3,Jorginho,Mount,Mount,Jorginho,Mount,Mount,"['Grosso Mendy', 'Reece James', 'Andreas Christensen', 'Thiago Silva', 'Antonio Rüdiger', 'Marcos Alonso', ""N'Golo Kanté"", 'Jorginho', 'Mason Mount', 'Kai Havertz', 'Timo Werner', 'Romelu Lukaku', 'Hakim João Vitor', 'Mateo Kovačić', 'Azpilicueta', 'Kepa', 'Christian Pulisic', 'Callum Hudson-Odoi', 'SaúlL', 'Trevoh Chalobah', 'Ruben Loftus-Cheek', 'Malang Sarr', 'Ben Chilwell', 'Ross Barkley', 'Marcus Bettinelli', 'Lucas Bergström', 'Harvey Vale', 'George McEachran', 'Thierno Ballo', 'Lewis Hall', 'Josh Brooking', 'Sam McClelland', 'Kenedy']","['Conor Gallagher', 'Michy Batshuayi', 'Emerson', 'Tiemoué Bakayoko', 'Armando Broja', 'Matt Miazga', 'Billy Gilmour', 'Baba Rahman', 'Ethan Ampadu', 'Jake Clarke-Salter', 'Levi Colwill', 'Ian Maatsen']"
Real Sociedad,"April 25, 2022",Athletic Club de Bilbao,82,80,78,15500000,Balanced,40,50,Possession,60,6,3,3,Oyarzabal,Oyarzabal,David Silva,Oyarzabal,Oyarzabal,Oyarzabal,"['Yazğılı', 'Ferreira Sousa', 'Périsset', 'Robin Le Normand', 'Diego Rico', 'RafinhaL', 'M. Raynov', 'David Silva', 'Adnan Januzaj', 'Alexander Isak', 'Oyarzabal', 'Barrenetxea', 'Merino', 'Aritz Elustondo', 'Aihen Muñoz', 'Mathew Ryan', 'Portu', 'Alexander SørlothL', 'Illarramendi', 'Gorosabel', 'Nacho Monreal', 'Ander Guevara', 'Carlos Fernández Luna', 'Guridi', 'Pacheco']","['Willian José', 'Kévin Rodrigues', 'Merquelanz', 'Modibo Sagnan', 'Jon Bautista']"
SC Freiburg,"April 21, 2022",VfB Stuttgart,73,74,76,10500000,Balanced,40,50,Balanced,60,3,3,3,Günter,Grifo,Grifo,Grifo,Grifo,Günter,"['Mark Flekken', 'Lukas Kübler', 'Philipp Lienhart', 'Nico Schlotterbeck', 'Christian Günter', 'Maximilian Eggestein', 'Nicolas Höfler', 'Roland Sallai', 'Vincenzo Grifo', 'Jeong Woo Yeong', 'Lucas Höler', 'Janik Haberer', 'Kevin Schade', 'J. Lacerda Keitel', 'Manuel Gulde', 'Benjamin Uphoff', 'Nils Petersen', 'Ermedin Demirović', 'Hugo Siquet', 'Jonathan Schmid', 'Nishan Burkart', 'Keven Schlotterbeck', 'Kimberly Ezekwem', 'Noah Weißhaupt', 'Kiliann Sildillia', 'Noah Atubolu']","['Luca Itter', 'Lino Tempelmann', 'Niclas Thiede']"
RC Strasbourg,"April 11, 2022",FC Metz,77,74,74,7500000,Balanced,40,70,Balanced,70,4,3,3,Liénard,Thomasson,Liénard,Ajorque,Guilbert,Prcić,"['Matz Sels', 'Frédéric GuilbertL', 'Alexander Djiku', 'Gerzino Nyamsi', 'Anthony Caci', 'Dimitri Liénard', 'Adrien Thomasson', 'Sanjin Prcić', 'Jean-Ricner Bellegarde', 'Kévin Gameiro', 'Ludovic Ajorque', 'Ibrahima Sissoko', 'Jean-Eudes AholouL', 'Lucas PerrinL', 'Karol Fila', 'Eiji Kawashima', 'Habib Diallo', 'Majeed Waris', 'Ismaël Doukouré', 'Moïse Sahi', 'Marvin Elimbi', 'Habib Diarra', 'Maxime Le Marchand']","['Bingourou Kamara', 'Lebo Mothiba', 'Mehdi Chahiri', 'Mahamé Siby', 'Marvin Senaya']"
Athletic Club de Bilbao,"April 21, 2022",Real Sociedad,78,78,79,18500000,Balanced,50,50,Long Ball,70,4,3,3,Muniain,Muniain,Iñigo Martínez,Muniain,Muniain,Ivanildo Jorge,"['Unai Simón', 'De Marcos', 'Vivian', 'Iñigo Martínez', 'S.Dursun', 'Ivanildo Jorge', 'Unai Vencedor', 'Vesga', 'Muniain', 'Sancet', 'Iñaki Williams', 'Capa', 'Inui', 'Balenziaga', 'Lekue', 'Agirrezabala', 'Raúl García', 'Dani García', 'Unai Núñez', 'Villalibre', 'Silva Almeida', 'Nico Williams', 'S. Opsahl', 'Nico Serrano', 'Beñat Prados Díaz', 'Jokin Ezkieta Mendiburu', 'Sillero', 'Aitor Paredes', 'Unai Rementería CastroL']","['Córdoba', 'Jon Morcillo', 'Iñigo Vicente', 'Nolaskoain', 'Imanol']"
Sampdoria,"May 2, 2022",Genoa,77,75,73,12000000,Balanced,50,60,Long Ball,50,6,3,3,Quagliarella,Candreva,Candreva,Caputo,Candreva,Candreva,"['Emil Audero', 'Bartosz Bereszyński', 'Maya Al Jadaani', 'Omar Colley', 'Tommaso Augello', 'Tomás Rincón', 'Antonio Candreva', 'Morten Thorsby', 'Stefano SensiL', 'Fabio Quagliarella', 'Francesco CaputoL', 'Albin Ekdal', 'Kristoffer Askildsen', 'Andrea Conti', 'Alex Ferrari', 'Wladimiro Falcone', 'Vladyslav SupriahaL', 'Sebastian Giovinco', 'Giangiacomo MagnaniL', 'Nicola Murru', 'Ronaldo Vieira', 'Mikkel Damsgaard', 'Manolo Gabbiadini', 'Nicola Ravaglia']","['Jeison Murillo', 'Gianluca Caprari', 'Valerio Verre', 'Fabio Depaoli', 'Federico Bonazzoli', 'Julian Chabot']"
Stade Brestois 29,"April 11, 2022",En Avant Guingamp,71,73,73,6500000,Pressure On Heavy Touch,60,50,Balanced,70,7,3,3,Chardonnet,Honorat,Honorat,Honorat,Honorat,Honorat,"['Marco Bizot', 'Ronaël Pierre-GabrielL', 'Brendan Chardonnet', 'Christophe Hérelle', 'Jean-Kévin Duverne', 'Haris Belkebla', 'Romain Del Castillo', 'Franck Honorat', 'Hugo Magnetti', 'Jere Uronen', 'Lilian Brassier', 'Gautier Larsonneur', 'Steve Mounié', 'Jérémy Le Douaron', 'Julien Faussurier', 'Irvin Cardona', ""Hianga'a Mbock"", 'Denys Bain', 'Rafiki Saïd', 'Sébastien Cibois', 'Grégoire Coudert', 'Noé Sow']",['Romain Philippoteaux']
Aston Villa,"April 21, 2022",West Bromwich Albion,79,78,79,37500000,Balanced,50,60,Balanced,50,5,3,3,Mings,Digne,Douglas Luiz,Watkins,McGinn,Digne,"['Emiliano Martínez', 'Matty Cash', 'Ezri Konsa', 'Tyrone Mings', 'Lucas Digne', 'Douglas Luiz', 'John McGinn', 'Jacob Ramsey', 'CoutinhoL', 'Ollie Watkins', 'Danny Ings', 'Ashley D. Valdés', 'Morgan Sanson', 'Carney Chukwuemeka', 'Calum Chambers', 'Robin Olsen', 'Leon Bailey', 'Emiliano Buendía', 'Kortney Hause', 'Marvelous Nakamba', 'Bertrand Traoré', 'Ben Chrisene', 'Brad D. Valdés', ""Tommi O'Reilly"", 'Dominic Revan', 'Indiana Vassilev']","['Matt Targett', 'Frédéric Guilbert', 'Anwar El Ghazi', 'Trezeguet', 'Conor Hourihane', 'Jed Steer', 'Keinan Davis', 'Cameron Archer', 'Finn Azaz', 'Kaine Kesler Hayden', 'Louie Barry', 'Tyreik Wright', 'Aaron Ramsey']"
